Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Retire,NextPercentile
Chris Brown,0.120253164556962,0.4011976047904191,0.7272727272727273,0.7450980392156863,0.7417218543046358,0.3935483870967742,0.4777070063694267,1,
Roosevelt Leaks,0.0857142857142857,0.4183006535947712,0.6624203821656051,0.7073170731707317,0.5872093023255814,0.5523255813953488,0.6204819277108434,0,0.7636363636363637
Stephen Davis,0.1901408450704225,0.4533333333333333,0.7368421052631579,0.9254658385093169,0.9419354838709676,0.952054794520548,0.8278145695364238,0,0.8417721518987342
Adrian Peterson,0.6622516556291391,0.8903225806451613,0.9808917197452228,0.9805194805194806,0.9727891156462584,1.0,1.0,0,0.9824561403508772
Jerick Mckinnon,0.3567251461988304,0.6927374301675978,0.8870967741935484,0.8688524590163934,0.6542553191489362,0.3711340206185567,0.4093023255813953,0,0.5458715596330275
Steven Jackson,0.4251497005988024,0.8181818181818182,0.9738562091503268,0.9801324503311258,0.9806451612903224,0.9426751592356688,0.9545454545454546,0,0.9455782312925172
Marquise Goodwin,0.3392857142857143,0.6140350877192983,0.5810055865921788,0.3118279569892473,0.5683060109289617,0.7606382978723404,0.9175257731958762,0,0.6976744186046512
Ron Dayne,0.2709677419354839,0.684931506849315,0.7549668874172185,0.5443037974683544,0.3952095808383233,0.4090909090909091,0.6209150326797386,0,0.7350993377483444
Bo Matthews,0.302158273381295,0.4785714285714286,0.5947712418300654,0.5987261146496815,0.5792682926829268,0.4883720930232558,0.4186046511627907,0,0.3734939759036144
Mike Alstott,0.3380281690140845,0.64,0.8355263157894737,0.8198757763975155,0.7483870967741936,0.815068493150685,0.847682119205298,0,0.8481012658227848
Leon Johnson 2,0.1733333333333333,0.5,0.7515527950310559,0.6258064516129033,0.5068493150684932,0.4569536423841059,0.5949367088607594,1,
Buford Mcgee,0.2962962962962963,0.4516129032258064,0.6549707602339181,0.6945454545454546,0.487012987012987,0.6103896103896104,0.75,0,0.7465753424657534
Tony Carter 2,0.196078431372549,0.4577464788732394,0.6866666666666666,0.6447368421052632,0.5962732919254659,0.5548387096774193,0.7191780821917808,1,
Lynn Cain,0.3430232558139535,0.6918604651162791,0.9156626506024096,0.8666666666666667,0.6835443037974683,0.5,0.4258064516129032,1,
James Saxon,0.2142857142857142,0.4415584415584415,0.5789473684210527,0.410958904109589,0.2647058823529412,0.2313432835820895,0.3142857142857143,0,0.2549019607843137
Joe Cribbs,0.4767441860465116,0.7951807228915663,0.9696969696969696,0.981012658227848,0.8580246913580247,0.6451612903225806,0.4152046783625731,0,0.7454545454545455
Dexter Bussey,0.0575539568345323,0.5428571428571428,0.7973856209150327,0.9044585987261148,0.8780487804878049,0.8430232558139535,0.877906976744186,0,0.7108433734939759
Walter Abercrombie,0.2909090909090909,0.6645569620253164,0.845679012345679,0.864516129032258,0.8888888888888888,0.9090909090909092,0.6363636363636364,1,
Chris Warren 2,0.1710526315789473,0.2808219178082192,0.6470588235294118,0.7686567164179104,0.9785714285714284,0.9869281045751634,0.9859154929577464,0,0.94
Ronnie Harmon,0.2865497076023391,0.7672727272727272,0.8311688311688312,0.9090909090909092,0.9078947368421052,0.952054794520548,0.9705882352941176,0,0.9626865671641792
Curtis Dickey,0.4069767441860465,0.8493975903614458,0.9090909090909092,0.8987341772151899,0.7407407407407407,0.6645161290322581,0.6140350877192983,1,
Tony Richardson,0.1176470588235294,0.323943661971831,0.56,0.7039473684210527,0.7391304347826086,0.8580645161290322,0.8835616438356164,0,0.8145695364238411
Donald Brown,0.2738853503184713,0.6038961038961039,0.8367346938775511,0.8238993710691824,0.875,0.8245614035087719,0.8324022346368715,1,
Clarence Davis,0.3595505617977528,0.6111111111111112,0.7851239669421488,0.8201438848920863,0.8285714285714286,0.8562091503267973,0.8598726114649682,0,0.6646341463414634
Michael Pittman,0.0328947368421052,0.3478260869565217,0.7096774193548387,0.821917808219178,0.7814569536423841,0.7974683544303798,0.874251497005988,0,0.9025974025974026
Fred Taylor,0.6118421052631579,0.9192546583850932,0.9935483870967742,0.9178082191780822,0.933774834437086,0.9050632911392406,0.9640718562874252,0,0.9285714285714286
Fred Mcafee,0.2260273972602739,0.4044117647058823,0.4925373134328358,0.4428571428571428,0.4705882352941176,0.3873239436619718,0.38,0,0.4144736842105263
Cadillac Williams,0.3246753246753247,0.5555555555555556,0.695364238410596,0.5161290322580645,0.6624203821656051,0.7857142857142857,0.8163265306122449,1,
James Develin,0.3333333333333333,0.4035087719298245,0.4078212290502793,0.0806451612903225,0.0273224043715847,0.3031914893617021,0.4072164948453608,1,
James White,0.1228070175438596,0.4245810055865922,0.7634408602150538,0.8360655737704918,0.9095744680851064,0.8917525773195877,0.8883720930232558,0,0.7385321100917431
Curtis Martin,0.5098039215686274,0.908450704225352,0.98,0.9407894736842104,0.9565217391304348,0.9806451612903224,0.9931506849315068,0,0.9668874172185432
Chuck Evans,0.0522388059701492,0.1857142857142857,0.4313725490196078,0.3943661971830985,0.4666666666666667,0.4473684210526316,0.6273291925465838,1,
Jeremi Johnson,0.2341772151898734,0.2275449101796407,0.435064935064935,0.3464052287581699,0.4834437086092715,0.2838709677419355,0.2547770700636942,1,
Cedric Smith,0.0328947368421052,0.0205479452054794,0.0147058823529411,0.0,0.2785714285714286,0.4248366013071895,0.5140845070422535,0,0.3533333333333333
Willis Mcgahee,0.4311377245508982,0.7792207792207793,0.9019607843137256,0.8940397350993378,0.832258064516129,0.8853503184713376,0.7272727272727273,0,0.7959183673469388
Stevan Ridley,0.238095238095238,0.6415094339622641,0.7738095238095238,0.7719298245614035,0.5307262569832403,0.4569892473118279,0.3715846994535519,0,0.3457446808510638
Rob Carpenter 2,0.4203821656050955,0.5548780487804879,0.7441860465116279,0.7325581395348837,0.8012048192771084,0.8303030303030303,0.7848101265822784,0,0.7839506172839507
Amos Zereoue,0.1118012422360248,0.2064516129032258,0.4794520547945205,0.6821192052980133,0.8227848101265823,0.8383233532934131,0.6753246753246753,1,
Leon Washington,0.261437908496732,0.5695364238410596,0.8709677419354839,0.821656050955414,0.7012987012987013,0.5510204081632653,0.5786163522012578,0,0.4166666666666667
Michael Robinson,0.1045751633986928,0.304635761589404,0.432258064516129,0.4267515923566879,0.5,0.4829931972789115,0.7735849056603774,0,0.6309523809523809
Derek Loville,0.0131578947368421,0.0547945205479452,0.0955882352941176,0.0373134328358208,0.1428571428571428,0.6274509803921569,0.823943661971831,0,0.8266666666666667
James Starks,0.0974025974025974,0.3877551020408163,0.5974842767295597,0.7678571428571429,0.7251461988304093,0.8100558659217877,0.7580645161290323,1,
Ronnie Brown,0.3766233766233766,0.6862745098039216,0.933774834437086,0.935483870967742,0.9235668789808916,0.8441558441558441,0.6530612244897959,0,0.6729559748427673
Rudi Johnson,0.1655629139072847,0.7151898734177216,0.8862275449101796,0.9545454545454546,0.8758169934640523,0.8145695364238411,0.535483870967742,1,
Eric Bieniemy,0.1301369863013698,0.3235294117647059,0.4328358208955223,0.5142857142857142,0.6666666666666666,0.7887323943661971,0.7866666666666666,0,0.7105263157894737
Doug Kotar,0.3309352517985611,0.5857142857142857,0.8104575163398693,0.7515923566878981,0.7987804878048781,0.7790697674418605,0.5813953488372093,0,0.4096385542168674
Robert Holcombe,0.1184210526315789,0.422360248447205,0.6774193548387096,0.6917808219178082,0.6423841059602649,0.5569620253164557,0.5449101796407185,1,
Jon Keyworth,0.4388489208633093,0.7,0.8954248366013072,0.7579617834394905,0.7134146341463414,0.5988372093023255,0.5872093023255814,1,
Chris Fuamatu Ma Afala,0.2434210526315789,0.3043478260869565,0.6193548387096774,0.7328767123287672,0.7417218543046358,0.6962025316455697,0.4850299401197604,1,
John L Williams,0.3976608187134502,0.8436363636363636,0.9675324675324676,0.9935064935064936,0.986842105263158,0.958904109589041,0.9191176470588236,0,0.9104477611940298
Earnest Graham,0.1017964071856287,0.1428571428571428,0.2745098039215686,0.6423841059602649,0.8258064516129032,0.8535031847133758,0.6753246753246753,0,0.6190476190476191
Chad Morton,0.1935483870967742,0.1917808219178082,0.2649006622516556,0.3417721518987341,0.3892215568862275,0.2727272727272727,0.5032679738562091,1,
William Henderson,0.1372549019607843,0.380281690140845,0.6533333333333333,0.7894736842105263,0.8136645962732919,0.8,0.7123287671232876,0,0.6622516556291391
Marc Logan,0.5636363636363636,0.3441558441558441,0.538961038961039,0.4276315789473684,0.3287671232876712,0.3676470588235294,0.582089552238806,0,0.85
