Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Retire,NextPercentile
Tim Fox,0.4813278008298755,0.6929133858267716,0.7941176470588235,0.6933797909407665,0.7524752475247525,0.8312883435582822,0.944954128440367,0.899009900990099,0.805019305019305,0.5452865064695009,1,
Perry Williams,0.1332046332046332,0.3253234750462107,0.4705882352941176,0.6235119047619048,0.6190476190476191,0.4150943396226415,0.4127579737335834,0.4390243902439024,0.3939962476547842,0.2509293680297397,1,
Donnie Jones,0.0975609756097561,0.2460701330108827,0.2896801448400724,0.228707564026206,0.1844951923076923,0.2033492822966507,0.2756183745583039,0.2487893462469733,0.3538647342995169,0.3648891551827442,1,
Nnamdi Asomugha,0.5086526576019778,0.6280487804878049,0.68863361547763,0.8756789378394689,0.8779035139964264,0.8984375,0.7416267942583732,0.7137809187279152,0.7257869249394673,0.7602657004830918,0,0.7555422408627921
David Martin2,0.3411528150134048,0.3803446075303127,0.5686032138442522,0.6158536585365854,0.6118500604594922,0.5353047676523838,0.1274568195354377,0.5186298076923077,0.5149521531100478,0.5188457008244994,1,
Brett Favre,0.175,0.0509383378016085,0.2910019144862795,0.2954264524103832,0.2847560975609756,0.1789600967351874,0.1092335546167773,0.1113758189398451,0.0372596153846153,0.0873205741626794,1,
Michael Lewis,0.2969168900804289,0.6873005743458839,0.8079132099553287,0.8559950556242274,0.8213844252163165,0.7920731707317074,0.7896341463414634,0.747279322853688,0.7158403869407497,0.6608328304164152,0,0.6427278213639107
Joe Thomas,0.1042287075640262,0.2265625,0.3415071770334928,0.3586572438162544,0.3650121065375302,0.3568840579710144,0.3361294188136609,0.2128801431127012,0.51513353115727,0.6041543026706232,0,0.6480938416422287
Neal Olkewicz,0.1045296167247386,0.1353135313531353,0.696319018404908,0.8394495412844036,0.9168316831683168,0.806949806949807,0.7800369685767098,0.8216911764705882,0.8258928571428571,0.7811320754716982,1,
Ted Johnson,0.39419795221843,0.6179001721170396,0.8425460636515912,0.8192182410423453,0.7379095163806553,0.8397058823529412,0.8176943699731903,0.8634333120612636,0.799752781211372,0.8182926829268292,1,
