Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Year13,Year14,Year15,Retire,NextPercentile
Champ Bailey,0.6006240249609984,0.8985294117647059,0.9550938337801608,0.9004467134652202,0.8856613102595797,0.8695121951219512,0.966142684401451,0.9903439951719976,0.9934484812388328,0.9645432692307692,0.8941387559808612,0.8716136631330977,0.8583535108958837,0.8339371980676329,0.799281006590773,1,
Albert Lewis,0.4316831683168317,0.6312741312741312,0.9408502772643254,0.9613970588235294,0.9419642857142856,0.7075471698113207,0.6923076923076923,0.726078799249531,0.7598499061913696,0.4944237918215613,0.74573055028463,0.6975425330812854,0.7525597269624573,0.6247848537005164,0.6834170854271356,0,0.8127035830618893
Rod Woodson,0.4285714285714285,0.7018867924528301,0.9324577861163228,0.9643527204502814,0.9587242026266416,0.966542750929368,0.986717267552182,0.998109640831758,0.9726962457337884,0.9449225473321858,0.8391959798994975,0.96742671009772,0.9797191887675508,0.9963235294117648,0.9906166219839142,0,0.9936183790682832
Matt Slater,0.4146634615384615,0.4479665071770335,0.5082449941107184,0.5399515738498789,0.5827294685990339,0.5979628520071899,0.5629099582587954,0.5448071216617211,0.5395894428152492,0.5204439252336449,0.5088757396449705,0.5110316040548599,0.5023310023310024,0.4928119608970673,0.4892601431980907,0,0.4780150753768844
Mason Crosby,0.2930315664085765,0.3713942307692308,0.4252392344497607,0.3957597173144876,0.4836561743341404,0.4993961352657005,0.5134811264230078,0.3709004174120453,0.5258160237388724,0.5278592375366569,0.5356308411214953,0.1520710059171597,0.2403100775193798,0.2301864801864802,0.257044278320874,1,
Phil Dawson,0.3102941176470588,0.2607238605898123,0.2641991065730695,0.3189122373300371,0.3091463414634146,0.4014510278113664,0.3814121907060953,0.3621203097081596,0.1502403846153846,0.0370813397129186,0.1012956419316843,0.137409200968523,0.1340579710144927,0.1180347513481126,0.1282051282051282,0,0.0694362017804154
Ryan Taylor,0.3102941176470588,0.1963806970509383,0.1550733886407147,0.0210135970333745,0.0274390243902439,0.0326481257557436,0.0325890162945081,0.0327575938058368,0.0372596153846153,0.0370813397129186,0.0400471142520612,0.3904358353510896,0.4806763285024155,0.4841222288795686,0.4358974358974359,1,
Ronde Barber,0.5684039087947883,0.734789391575663,0.9705882352941176,0.992627345844504,0.9917038927887684,0.9901112484548824,0.9865853658536584,0.992744860943168,0.9951719975859988,0.9880881477069684,0.9885817307692308,0.9677033492822966,0.9658421672555948,0.9461259079903148,0.9836956521739132,1,
Brandon Marshall,0.5117682558841279,0.5330553901131626,0.5426682692307693,0.3977272727272727,0.3480565371024735,0.3093220338983051,0.3713768115942029,0.3804347826086957,0.408627920910725,0.5497912939773405,0.6112104949314252,0.6706231454005934,0.686646884272997,0.7249266862170088,0.7290322580645161,0,0.6629672897196262
Justin Hamilton,0.4477972238986119,0.4419297200714711,0.4471153846153846,0.1788277511961722,0.1666666666666666,0.0405569007263922,0.0440821256038647,0.0437387657279808,0.0429338103756708,0.0409495548961424,0.039882697947214,0.4363317757009345,0.436094674556213,0.4317233154442457,0.4318181818181818,0,0.4669350201265095
Chad Brown,0.1062618595825427,0.440453686200378,0.5870307167235495,0.7831325301204819,0.6767169179229481,0.7166123778501629,0.5538221528861155,0.8441176470588235,0.8981233243967829,0.91959157626037,0.9165636588380716,0.8347560975609756,0.7877871825876662,0.668074834037417,0.5991661703394878,1,
Dwight Freeney,0.8915124441608169,0.984548825710754,0.998780487804878,0.9975816203143894,0.987929993964997,0.963073257891602,0.9561298076923076,0.9706937799043064,0.9893992932862192,0.9830508474576272,0.9516908212560388,0.8358298382264829,0.7412045319022064,0.8302670623145401,0.8574780058651026,0,0.8533878504672897
Steve Smith,0.1233243967828418,0.3075941289087428,0.3980222496909765,0.3896341463414634,0.3724304715840387,0.2957151478575739,0.3156640857653365,0.2890625,0.2836538461538461,0.1961722488038277,0.1955741626794258,0.1996466431095406,0.1996466431095406,0.2487893462469733,0.2941888619854721,0,0.3484299516908212
London Fletcher,0.3790951638065523,0.8816176470588235,0.979892761394102,0.994256541161455,0.9851668726823238,0.9798780487804878,0.9770253929866988,0.992154496077248,0.991661703394878,0.9813701923076924,0.9623205741626796,0.9782096584216724,0.9927360774818402,0.997584541062802,0.9922109047333731,1,
Ted Washington2,0.0525328330206379,0.1840148698884758,0.3396584440227704,0.5803402646502835,0.6569965870307167,0.7314974182444062,0.7068676716917923,0.8094462540716613,0.7457098283931357,0.8485294117647059,0.7788203753351206,0.7172941927249521,0.7150803461063041,0.7554878048780488,0.7980652962515115,0,0.7724803862401931
Richard Dent,0.0891089108910891,0.7065637065637066,0.9870609981515712,1.0,1.0,0.9830188679245284,0.9868667917448404,0.9699812382739212,0.9624765478424016,0.9553903345724908,0.9032258064516128,0.8185255198487713,0.6040955631399317,0.459552495697074,0.5058626465661642,1,
Kevin Williams,0.1563517915309446,0.157566302652106,0.5838235294117647,0.4671581769436997,0.5666879387364391,0.7935723114956736,0.9597560975609756,0.971584038694075,0.9553409776704888,0.9428231089934485,0.9609375,0.9611244019138756,0.9110718492343934,0.8668280871670703,0.8321256038647343,0,0.8502097064110246
Steve Martin,0.2589285714285714,0.1377358490566037,0.1257035647279549,0.0375234521575985,0.0431519699812382,0.0594795539033457,0.064516129032258,0.0699432892249527,0.0631399317406143,0.1979345955249569,0.1825795644891122,0.3583061889250814,0.4648985959438377,0.7330882352941176,0.7949061662198391,0,0.7051691129546905
Junior Seau,0.0562851782363977,0.4090056285178236,0.8122676579925651,0.9165085388994308,0.9565217391304348,0.9795221843003412,0.9931153184165232,0.9949748743718592,0.972312703583062,0.921996879875195,0.9463235294117648,0.9403485254691688,0.9329929802169752,0.9110012360939432,0.874390243902439,0,0.8168077388149939
Mike Jones,0.1468401486988847,0.2106261859582542,0.3761814744801512,0.3771331058020478,0.3959044368600682,0.2805507745266781,0.2461273666092943,0.2730318257956449,0.3299832495812395,0.3534201954397394,0.3192182410423452,0.2262090483619344,0.1778471138845553,0.6397058823529411,0.6575067024128687,0,0.6585832801531589
Anthony Davis,0.1689419795221843,0.3734939759036144,0.4522613065326633,0.5488599348534202,0.4118564742589704,0.6691176470588235,0.4450402144772118,0.4460753031269943,0.0210135970333745,0.0274390243902439,0.0918984280532043,0.1188895594447797,0.1155449672424061,0.0865384615384615,0.0370813397129186,0,0.1012956419316843
Chris Thompson,0.4238210399032648,0.4272782136391068,0.4282310899344848,0.0372596153846153,0.0370813397129186,0.0400471142520612,0.0405569007263922,0.0440821256038647,0.0437387657279808,0.0429338103756708,0.0409495548961424,0.1008797653958944,0.1536214953271028,0.2184579439252336,0.2378698224852071,1,
Josh Shaw,0.4454371410338226,0.4555006180469715,0.4676829268292683,0.3083434099153567,0.312009656004828,0.2263251935675997,0.3479567307692308,0.3630382775119617,0.2296819787985865,0.0405569007263922,0.0440821256038647,0.0437387657279808,0.0429338103756708,0.4807121661721068,0.6756598240469208,0,0.7114485981308412
Mike Adams,0.5493902439024391,0.8246674727932285,0.859987929993965,0.8665872543180465,0.7566105769230769,0.791267942583732,0.8392226148409894,0.8910411622276029,0.8810386473429952,0.8671497584541062,0.7465548232474536,0.6860395446375075,0.6893261776982708,0.7734048896839595,0.9602373887240356,0,0.9882697947214076
Chris Canty,0.1021775544388609,0.2068403908794788,0.3822152886115444,0.6808823529411765,0.6394101876675603,0.4913848117421825,0.0210135970333745,0.0274390243902439,0.6463119709794438,0.692214846107423,0.7927337701012508,0.7776442307692307,0.7691387559808612,0.765017667844523,0.763317191283293,0,0.7958937198067633
Chris Harris,0.7110036275695284,0.7990343995171998,0.8802858844550328,0.8449519230769231,0.8708133971291866,0.8987043580683156,0.8801452784503632,0.8523002421307506,0.7041062801932367,0.6129227053140096,0.7040143798681845,0.8562909958258795,0.9649851632047478,0.975366568914956,0.963785046728972,0,0.9508875739644972
James Farrior,0.3936348408710218,0.3957654723127036,0.5491419656786272,0.7323529411764705,0.9296246648793566,0.9323548181238036,0.9567367119901112,0.975609756097561,0.987303506650544,0.9927579963789982,0.9809410363311496,0.9831730769230768,0.9772727272727272,0.9717314487632508,0.9424939467312348,1,
Derrick Johnson,0.5761789600967352,0.6523579201934704,0.6487628243814122,0.5769462884731442,0.7474687313877308,0.8359375,0.944976076555024,0.9540636042402828,0.9661016949152542,0.9293478260869564,0.9400838825644098,0.8616577221228384,0.9032640949554896,0.9114369501466276,0.9386682242990654,0,0.8420118343195266
Brandon Williams,0.1042287075640262,0.1033653846153846,0.1160287081339712,0.2597173144876325,0.2294188861985472,0.2524154589371981,0.10964649490713,0.1396045536249251,0.2731067382230173,0.3231961836612999,0.3210682492581602,0.2931750741839762,0.41524926686217,0.4527859237536656,0.4785923753665689,0,0.4725467289719626
Willie McGinest,0.1682419659735349,0.4778156996587031,0.7091222030981067,0.6666666666666666,0.5586319218241043,0.4539781591263651,0.8117647058823529,0.8545576407506702,0.8806636885768986,0.9054388133498146,0.95,0.935912938331318,0.896197948098974,0.8272781417510423,0.7782451923076923,1,
Tony Carter,0.3985294117647059,0.3753351206434316,0.4722399489470325,0.4524103831891223,0.4341463414634146,0.0326481257557436,0.0325890162945081,0.0327575938058368,0.0372596153846153,0.4611244019138756,0.4687868080094228,0.4673123486682808,0.7524154589371981,0.7884961054523667,0.8187239117471675,1,
Michael Strahan,0.0872865275142315,0.3686200378071834,0.7696245733788396,0.8554216867469879,0.9262981574539364,0.9560260586319218,0.982839313572543,0.9897058823529412,0.9993297587131368,0.9987236758136566,0.99938195302843,0.9878048780487804,0.9879081015719468,0.91973445986723,0.9440142942227516,1,
Chris Baker,0.0797280593325092,0.1926829268292683,0.2515114873035066,0.3470126735063367,0.3424657534246575,0.3185096153846153,0.1770334928229665,0.0400471142520612,0.0405569007263922,0.4885265700483092,0.6063511084481725,0.6630888491353608,0.7744807121661721,0.8351906158357771,0.8294392523364486,1,
Rod Smith1,0.0799256505576208,0.0910815939278937,0.2155009451795841,0.167235494880546,0.2134251290877797,0.0737018425460636,0.260586319218241,0.2277691107644305,0.5985294117647059,0.3371313672922252,0.3982131461391193,0.4394313967861557,0.4103658536585365,0.3935912938331318,0.3796016898008449,0,0.3055390113162596
Michael Lewis,0.2969168900804289,0.6873005743458839,0.8079132099553287,0.8559950556242274,0.8213844252163165,0.7920731707317074,0.7896341463414634,0.747279322853688,0.7158403869407497,0.6608328304164152,0.6427278213639107,0.6611078022632519,0.6759976176295414,0.7872596153846154,0.8773923444976076,0,0.8651354534746761
Mike Leach,0.175,0.0509383378016085,0.2552648372686662,0.3597033374536464,0.3847560975609756,0.4111245465538089,0.436330718165359,0.4526503871351995,0.4429086538461538,0.4437799043062201,0.4599528857479387,0.4473365617433414,0.519927536231884,0.5152786099460755,0.5038759689922481,0,0.4094955489614243
Tom Brady,0.2446380697050938,0.2520740268028079,0.2583436341161928,0.1926829268292683,0.1644498186215235,0.1617380808690404,0.0327575938058368,0.0372596153846153,0.0370813397129186,0.0400471142520612,0.0405569007263922,0.1630434782608695,0.1252246854403834,0.1991651759093619,0.2456973293768546,0,0.2545454545454545
Alex Lewis,0.6792682926829269,0.6831922611850061,0.7223898611949306,0.620011911852293,0.6712740384615384,0.6100478468899522,0.552414605418139,0.0405569007263922,0.0440821256038647,0.0437387657279808,0.0429338103756708,0.0409495548961424,0.1008797653958944,0.0566588785046729,0.0449704142011834,0,0.1293977340488968
Tim Johnson,0.1132075471698113,0.1932457786116322,0.3264540337711069,0.4071294559099437,0.3847583643122677,0.3889943074003795,0.2665406427221172,0.2389078498293515,0.2289156626506024,0.1708542713567839,0.1156351791530944,0.0717628705148206,0.0235294117647058,0.0201072386058981,0.3707721761327377,0,0.572929542645241
Keith Traylor,0.2100371747211896,0.2049335863377609,0.2022684310018903,0.2235494880546075,0.342512908777969,0.6013400335008375,0.6254071661237784,0.6162246489859594,0.7875,0.8458445040214477,0.8449266113592853,0.7985166872682324,0.6890243902439024,0.6928657799274486,0.7398913699456849,0,0.7706968433591423
Larry Fitzgerald,0.0918984280532043,0.1188895594447797,0.3787969029184038,0.3870192307692308,0.4300239234449761,0.4157832744405182,0.4231234866828087,0.4136473429951691,0.4307968843618933,0.334525939177102,0.3988130563798219,0.3478005865102639,0.326518691588785,0.2307692307692307,0.2731067382230173,0,0.31002331002331
Lawyer Milloy,0.487091222030981,0.8174204355108877,0.969055374592834,0.9812792511700468,0.9911764705882352,0.9731903485254692,0.95022335673261,0.9419035846724352,0.9347560975609756,0.941354292623942,0.8974049487024743,0.8832638475282907,0.890625,0.8552631578947368,0.8692579505300353,1,
Reggie Williams1,0.2116182572614107,0.6850393700787402,0.7389705882352942,0.7003484320557491,0.5181518151815182,0.50920245398773,0.6903669724770642,0.6198019801980198,0.5926640926640927,0.4621072088724584,0.4227941176470588,0.4375,0.3075471698113207,0.2945590994371482,0.2026266416510319,0,0.1294559099437148
Greg Jones,0.1273031825795645,0.2394136807817589,0.2652106084243369,0.5845588235294118,0.5475871313672922,0.5430759412890874,0.4622991347342398,0.3664634146341463,0.3694074969770254,0.3741701870850935,0.3984514592019059,0.3834134615384615,0.4138755980861244,0.3498233215547703,0.3444309927360774,0,0.3486682808716707
Ty Law,0.409556313993174,0.6333907056798623,0.8241206030150754,0.9299674267100976,0.9438377535101404,0.9602941176470589,0.9309651474530832,0.9393746011486918,0.9703337453646476,0.9396341463414634,0.9703748488512696,0.9583584791792396,0.9714115544967242,0.8557692307692307,0.7410287081339713,1,
Bobby Bell,0.9090909090909092,0.8759124087591241,0.9482758620689656,0.8592964824120602,0.8431372549019608,0.57847533632287,0.4273858921161825,0.0275590551181102,0.0183823529411764,0.0278745644599303,0.0462046204620462,0.0552147239263803,0.018348623853211,0.0118811881188118,0.0154440154440154,0,0.011090573012939
Marcus Johnson,0.0941460470730235,0.0589636688505062,0.0865384615384615,0.0370813397129186,0.0400471142520612,0.0405569007263922,0.0440821256038647,0.0437387657279808,0.0429338103756708,0.0409495548961424,0.039882697947214,0.0420560747663551,0.1159763313609467,0.1067382230172927,0.5198135198135199,0,0.511213341000575
Jason Peters,0.4536585365853658,0.4836759371221282,0.4912492456246228,0.3609291244788564,0.125,0.2906698564593301,0.3480565371024735,0.3093220338983051,0.1968599033816425,0.2846015578190533,0.2027429934406678,0.2700296735905044,0.1401759530791788,0.1226635514018691,0.0343195266272189,0,0.0363744782349433
Darrell Green,0.4673267326732673,0.7181467181467182,0.7985212569316081,0.8235294117647058,0.8541666666666666,0.8113207547169812,0.6566604127579737,0.6041275797373359,0.7485928705440901,0.7769516728624535,0.7817836812144212,0.7561436672967864,0.8242320819112628,0.8812392426850258,0.8894472361809045,0,0.8697068403908795
Will Allen,0.6809651474530831,0.7402680280791321,0.8053152039555006,0.7621951219512195,0.7609756097560976,0.8228536880290206,0.8881499395405078,0.8992154496077248,0.8593844296922148,0.7689100655151876,0.7200714711137582,0.6826923076923077,0.7109375,0.6979665071770335,0.65311004784689,0,0.6060070671378092
Jimmy Smith,0.3102941176470588,0.1963806970509383,0.1550733886407147,0.1915945611866502,0.3048780487804878,0.3760580411124546,0.3246831623415812,0.1667659321024419,0.0372596153846153,0.0370813397129186,0.0400471142520612,0.6404358353510896,0.6884057971014492,0.7878969442780108,0.7686344663088849,0,0.8646884272997033
Ben Roethlisberger,0.0975609756097561,0.1590084643288996,0.208207604103802,0.1852293031566408,0.2409855769230769,0.2200956937799043,0.1654888103651354,0.1658595641646489,0.1817632850241546,0.1839424805272618,0.0429338103756708,0.0409495548961424,0.039882697947214,0.0420560747663551,0.1159763313609467,0,0.1067382230172927
Chris Clemons,0.5439024390243903,0.6166868198307134,0.6173808086904043,0.7218582489577129,0.7445913461538461,0.7966507177033493,0.7386363636363636,0.8763250883392226,0.9546525323910484,0.9334140435835352,0.8208232445520581,0.7590579710144928,0.8611111111111112,0.8939484721390054,0.8550029958058718,0,0.8348240906380441
Chris Doleman,0.299445471349353,0.6746323529411765,0.9761904761904762,0.9867924528301888,1.0,0.9868667917448404,0.9831144465290806,0.9907063197026024,0.98292220113852,0.9659735349716446,0.863481228668942,0.9621342512908778,0.984924623115578,0.995114006514658,0.9734789391575664,1,
Dexter Davis,0.1728624535315985,0.1707779886148007,0.1776937618147448,0.0784982935153583,0.0774526678141136,0.0770519262981574,0.0684039087947882,0.0717628705148206,0.0235294117647058,0.0201072386058981,0.0153158902361199,0.0210135970333745,0.0274390243902439,0.0326481257557436,0.0325890162945081,0,0.0327575938058368
Johnathan Joseph,0.6065178032589016,0.813579511614056,0.900841346153846,0.9647129186602872,0.9528857479387516,0.9552058111380144,0.9269323671497584,0.926303175554224,0.958855098389982,0.9572700296735904,0.9331378299120234,0.8989485981308412,0.908284023668639,0.909958258795468,0.865967365967366,1,
