Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Retire,NextPercentile
Jacob Green,0.5206422018348624,0.906930693069307,0.9845559845559846,1.0,0.9981617647058824,0.9970238095238096,0.969811320754717,0.924953095684803,0,0.874296435272045
Rey Maualuga,0.7188995215311005,0.8627797408716137,0.948547215496368,0.9510869565217392,0.9245056920311564,0.8747763864042933,0.8611275964391691,0.836950146627566,0,0.7973130841121495
Vince Williams,0.5865787896944278,0.6636851520572451,0.7477744807121661,0.7765395894428152,0.8878504672897196,0.9319526627218936,0.9355992844364938,0.9067599067599068,1,
Emmanuel Sanders,0.565959952885748,0.5811138014527845,0.5948067632850241,0.5074895146794488,0.3076923076923077,0.3810089020771513,0.363049853372434,0.3685747663551402,0,0.2213017751479289
Barry Sims,0.175,0.225201072386059,0.2444160816847479,0.2558714462299135,0.2871951219512195,0.3010882708585248,0.3108026554013277,0.5032757593805837,1,
Reggie Kelly,0.175,0.0509383378016085,0.1001914486279515,0.0797280593325092,0.1310975609756097,0.2031438935912938,0.2914906457453228,0.2310899344848123,0,0.1941105769230769
Darren Howard,0.8095588235294118,0.9390080428954424,0.9814932992980216,0.9530284301606922,0.9676829268292684,0.9498186215235792,0.9547374773687388,0.8433591423466349,0,0.8840144230769231
Nate Webster,0.4852941176470588,0.599195710455764,0.641352903637524,0.7218788627935723,0.7579268292682927,0.7261185006045949,0.6300543150271575,0.7325789160214413,0,0.8533653846153846
Vincent Rey,0.2856301531213192,0.3983050847457627,0.5483091787439613,0.8316357100059916,0.9010137149672034,0.9388724035608308,0.9055718475073312,0.9036214953271028,0,0.834319526627219
Matt Stover,0.2588235294117647,0.2707774798927614,0.3024888321633694,0.2818294190358467,0.1701219512195122,0.1185006045949214,0.1188895594447797,0.1155449672424061,0,0.134014423076923
Alex Brown,0.6751754945756222,0.8436341161928307,0.9445121951219512,0.9582829504232164,0.9643934821967411,0.9708159618820726,0.9681490384615384,0.937200956937799,0,0.9104829210836278
Dominic Raiola,0.1289087428206764,0.1915945611866502,0.2298780487804878,0.1469165659008464,0.3258901629450815,0.3186420488385944,0.3167067307692308,0.2117224880382775,0,0.1472320376914016
Travis LaBoy,0.6079268292682927,0.7363966142684402,0.8068799034399518,0.8302561048243002,0.7992788461538461,0.743421052631579,0.7420494699646644,0.6858353510895884,1,
Neal Colzie,0.4932735426008968,0.5020746887966805,0.6535433070866141,0.6102941176470589,0.8641114982578397,0.8778877887788779,0.9539877300613496,0.963302752293578,1,
Champ Bailey,0.6006240249609984,0.8985294117647059,0.9550938337801608,0.9004467134652202,0.8856613102595797,0.8695121951219512,0.966142684401451,0.9903439951719976,0,0.9934484812388328
Lonie Paxton,0.175,0.1595174262734584,0.177409061901723,0.3386897404202719,0.4603658536585366,0.4740024183796856,0.4725407362703681,0.3734365693865396,0,0.3365384615384615
Dustin Hopkins,0.2124629080118694,0.1988269794721407,0.1921728971962616,0.1159763313609467,0.257602862254025,0.3024475524475524,0.3588269120184014,0.331145584725537,0,0.332286432160804
Jimmy Spencer,0.4858223062381852,0.6996587030716723,0.8743545611015491,0.7252931323283082,0.6482084690553745,0.5132605304212169,0.8845588235294117,0.920911528150134,0,0.8761965539246969
Odis McKinney,0.150735294117647,0.3205574912891986,0.6072607260726073,0.6073619631901841,0.4977064220183486,0.295049504950495,0.1312741312741312,0.1829944547134935,1,
Fred McNeill,0.0493273542600896,0.0705394190871369,0.1811023622047244,0.2720588235294117,0.2613240418118467,0.2409240924092409,0.2147239263803681,0.1513761467889908,0,0.1544554455445544
Jamir Miller,0.3081285444234404,0.5119453924914675,0.7194492254733219,0.8040201005025126,0.8957654723127035,0.8798751950078003,0.938970588235294,0.9711796246648794,1,
Darren Carrington,0.0544090056285178,0.0787992495309568,0.324577861163227,0.7100371747211895,0.8444022770398482,0.8147448015122873,0.6484641638225256,0.4027538726333907,1,
Moran Norris,0.1233243967828418,0.1991065730695596,0.349814585908529,0.4152439024390243,0.5501813784764208,0.547978273989137,0.5539011316259679,0.3924278846153846,0,0.3301435406698564
Michael Walter,0.0984555984555984,0.4380776340110905,0.6415441176470589,0.8154761904761905,0.7773584905660378,0.8030018761726079,0.6885553470919324,0.4183864915572232,0,0.604089219330855
Devery Henderson,0.0918984280532043,0.1188895594447797,0.1852293031566408,0.2409855769230769,0.3235645933014354,0.306831566548881,0.2905569007263922,0.2814009661835748,1,
John Anderson,0.4926470588235294,0.445993031358885,0.4884488448844885,0.5705521472392638,0.9059633027522936,0.9762376237623762,0.9787644787644788,0.9463955637707948,0,0.7261029411764706
Matt Birk,0.1518825781748564,0.2954264524103832,0.2847560975609756,0.1717049576783555,0.2564876282438141,0.3204288266825491,0.3707932692307692,0.3510765550239234,0,0.3698468786808009
