Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Retire,NextPercentile
Jamaal Charles,0.180889423076923,0.3899521531100478,0.4075382803297998,0.3716707021791767,0.2077294685990338,0.3541042540443379,0.3410852713178294,0.3347181008902077,0.1941348973607038,0,0.1664719626168224
Darrelle Revis,0.7385348421679571,0.9200721153846154,0.9826555023923444,0.964075382803298,0.9570217917675544,0.8907004830917874,0.939484721390054,0.8849135360763267,0.9543026706231454,0,0.9372434017595308
Marcus Coleman,0.2891566265060241,0.4221105527638191,0.4267100977198697,0.7098283931357254,0.8838235294117647,0.9510723860589811,0.90427568602425,0.9474660074165636,0.9585365853658536,0,0.9407496977025392
Kevin Greene,0.1580882352941176,0.5699404761904762,0.7396226415094339,0.8442776735459663,0.8667917448405253,0.7166979362101313,0.5631970260223048,0.5047438330170778,0.6748582230623819,0,0.7320819112627986
Takeo Spikes,0.3631921824104234,0.7675507020280812,0.9544117647058824,0.9886058981233244,0.97702616464582,0.988257107540173,0.9932926829268292,0.985489721886336,0.9589619794809896,0,0.8052412150089339
Billy Cundiff,0.0727504786215698,0.0797280593325092,0.1926829268292683,0.1644498186215235,0.1617380808690404,0.0327575938058368,0.0372596153846153,0.0370813397129186,0.1012956419316843,0,0.059322033898305
Reggie Williams1,0.2116182572614107,0.6850393700787402,0.7389705882352942,0.7003484320557491,0.5181518151815182,0.50920245398773,0.6903669724770642,0.6198019801980198,0.5926640926640927,0,0.4621072088724584
Brad Edwards,0.350943396226415,0.50093808630394,0.7054409005628518,0.7523452157598499,0.9200743494423792,0.8956356736242884,0.7391304347826086,0.3464163822525597,0.2495697074010327,1,
Darryl Talley,0.3108910891089109,0.6274131274131274,0.7171903881700554,0.7444852941176471,0.7202380952380952,0.7547169811320755,0.8123827392120075,0.9943714821763602,1.0,0,1.0
Derek Wolfe,0.6696859903381642,0.762133013780707,0.8002385211687537,0.7928783382789317,0.8304985337243401,0.8463785046728972,0.8266272189349112,0.8413834227787717,0.8712121212121212,1,
Scott Radecic,0.332046332046332,0.6229205175600739,0.78125,0.9092261904761904,0.809433962264151,0.8461538461538461,0.575984990619137,0.6585365853658537,0.6431226765799256,1,
Carl Lee,0.4910891089108911,0.583011583011583,0.7707948243992606,0.7242647058823529,0.8377976190476191,0.9415094339622642,0.9136960600375236,0.9080675422138836,0.6022514071294559,0,0.6988847583643123
Eugene Robinson,0.2920517560073937,0.6268382352941176,0.918154761904762,0.9113207547169812,0.9193245778611632,0.900562851782364,0.9362101313320824,0.9646840148698884,0.9905123339658444,0,0.9810964083175804
Phil Dawson,0.3102941176470588,0.2607238605898123,0.2641991065730695,0.3189122373300371,0.3091463414634146,0.4014510278113664,0.3814121907060953,0.3621203097081596,0.1502403846153846,0,0.0370813397129186
Lucius Sanford,0.2941176470588235,0.494773519163763,0.5478547854785478,0.254601226993865,0.018348623853211,0.5267326732673268,0.4517374517374517,0.5878003696857671,0.3602941176470588,1,
Ken Houston,0.5252525252525253,1.0,0.9540229885057472,0.9798994974874372,0.7598039215686274,0.8699551569506726,0.8257261410788381,0.8858267716535433,0.8529411764705882,0,0.7491289198606271
Geno Atkins,0.5783274440518257,0.8432203389830508,0.9565217391304348,0.964050329538646,0.9296362552176506,0.8919881305637982,0.9266862170087976,0.9439252336448598,0.9260355029585798,0,0.9063804412641622
Dominique Rodgers-Cromartie,0.7878605769230769,0.916267942583732,0.9705535924617196,0.9073849878934624,0.8623188405797102,0.8603954463750749,0.8956469886702445,0.9281899109792284,0.9472140762463344,0,0.9334112149532712
Shaun Ellis,0.7426470588235294,0.8532171581769437,0.9068283343969368,0.9202719406674909,0.9634146341463414,0.9576783555018138,0.9269764634882316,0.8796902918403812,0.9465144230769232,0,0.9551435406698564
Maurice Morris,0.1914486279514997,0.361557478368356,0.4274390243902439,0.4631197097944377,0.4556427278213639,0.4300178677784395,0.3335336538461538,0.3839712918660287,0.392226148409894,0,0.4001210653753027
Devon Kennard,0.7298747763864043,0.7869436201780415,0.8785923753665689,0.860981308411215,0.8875739644970414,0.928443649373882,0.907925407925408,0.8504887866589994,0.6563245823389021,1,
Kailee Wong,0.1254071661237785,0.1216848673946957,0.7419117647058824,0.8599195710455764,0.9170389278876836,0.896168108776267,0.925,0.8863361547762999,0.8340374170187085,1,
Jim Ryan,0.2607260726072607,0.1717791411042944,0.1009174311926605,0.0118811881188118,0.4073359073359073,0.5471349353049908,0.6452205882352942,0.7589285714285714,0.7679245283018868,1,
Ken Harvey,0.2452830188679245,0.6397748592870544,0.8292682926829268,0.9193245778611632,0.929368029739777,0.920303605313093,0.9621928166351608,0.9897610921501706,0.9948364888123924,0,0.9731993299832497
James Farrior,0.3936348408710218,0.3957654723127036,0.5491419656786272,0.7323529411764705,0.9296246648793566,0.9323548181238036,0.9567367119901112,0.975609756097561,0.987303506650544,0,0.9927579963789982
Barney Bussey,0.1415441176470588,0.4077380952380952,0.4792452830188679,0.4821763602251407,0.7279549718574109,0.7504690431519699,0.7304832713754646,0.3833017077798861,0.4725897920604915,1,
Mark Simoneau,0.5669117647058823,0.7198391420911529,0.7683471601786854,0.8665018541409147,0.8640243902439024,0.8748488512696493,0.8183464091732046,0.8010720667063729,0.7542067307692307,0,0.6584928229665071
Marty Carter,0.2795497185741088,0.7676579925650557,0.872865275142315,0.8752362948960303,0.8447098976109215,0.8364888123924269,0.8576214405360134,0.6644951140065146,0.5397815912636506,0,0.8132352941176471
Patrick Robinson,0.4787985865724382,0.7403147699757869,0.9027777777777778,0.8981426003594967,0.8688133571854502,0.7584569732937686,0.819941348973607,0.8790887850467289,0.8,0,0.7579010137149672
Rosevelt Colvin,0.1653666146645865,0.7588235294117647,0.9423592493297588,0.9834077855775368,0.9678615574783684,0.9042682926829269,0.8784764207980653,0.9420639710319856,0.9648600357355568,0,0.908653846153846
Albert Fontenot,0.1366223908918406,0.328922495274102,0.4744027303754266,0.5731497418244407,0.7705192629815746,0.7687296416938111,0.733229329173167,0.7698529411764706,0.764745308310992,1,
Corey Graham,0.4502680166765932,0.7181490384615384,0.7446172248803827,0.7626619552414605,0.7239709443099274,0.8254830917874396,0.9179149191132414,0.9451401311866428,0.9774480712166173,0,0.9665689149560116
Greg Buttle,0.3029045643153527,0.6496062992125984,0.7794117647058824,0.7700348432055749,0.6402640264026402,0.8466257668711656,0.8692660550458715,0.9089108910891088,0.7722007722007722,1,
Erik Coleman,0.7878048780487805,0.8857315598548973,0.9396499698249848,0.8576533650982728,0.8930288461538461,0.909688995215311,0.8998822143698468,0.7506053268765133,0.6419082125603864,1,
Randy Gradishar,0.600896860986547,0.8298755186721992,0.9251968503937008,0.8897058823529411,0.6132404181184669,0.7821782178217822,0.9631901840490796,0.9839449541284404,0.9821782178217822,1,
Desmond Trufant,0.731575793888556,0.8425760286225402,0.9062314540059347,0.9173020527859238,0.929322429906542,0.9047337278106508,0.8968395945140131,0.824009324009324,0.7711328349626222,1,
James Williams~,0.1726078799249531,0.2082551594746716,0.2589118198874296,0.2082551594746716,0.2620817843866171,0.3092979127134725,0.3681214421252372,0.4744801512287334,0.553875236294896,0,0.5767918088737202
Justin Houston,0.7161016949152542,0.8882850241545893,0.962852007189934,0.9958258795468098,0.9952522255192878,0.9894428152492668,0.9509345794392524,0.9769230769230768,0.9910554561717352,0,0.9912587412587412
Adrian Wilson,0.7064343163538874,0.8800255264837269,0.9276885043263288,0.9670731707317072,0.975211608222491,0.9975859987929994,0.9928528886241812,0.9873798076923076,0.9563397129186604,0,0.9664310954063604
Sam Williams1,0.4963414634146341,0.5012091898428053,0.6753168376584189,0.6968433591423466,0.7427884615384616,0.6704545454545454,0.6307420494699647,0.5018159806295399,0.4583333333333333,1,
Chris Hovan,0.5808823529411765,0.8036193029490617,0.8895979578813018,0.8800988875154512,0.7975609756097561,0.7321644498186215,0.7712733856366928,0.7974985110184634,0.7770432692307693,0,0.736244019138756
Troy Wilson,0.09375,0.0528301886792452,0.0581613508442776,0.0375234521575985,0.0431519699812382,0.0594795539033457,0.1840607210626186,0.277882797731569,0.295221843003413,0,0.1428571428571428
Sheldon Brown,0.6636885768985322,0.7620519159456118,0.9060975609756098,0.9607013301088272,0.9619794809897404,0.951756998213222,0.8972355769230769,0.9527511961722488,0.9422850412249706,0,0.9437046004842616
Ike Taylor,0.5111248454882571,0.6067073170731707,0.7412333736396615,0.8292094146047073,0.9338892197736748,0.916466346153846,0.9090909090909092,0.8680800942285041,0.8753026634382567,0,0.841183574879227
Joe Staley,0.1620011911852293,0.3497596153846153,0.3642344497607656,0.3392226148409894,0.137409200968523,0.1340579710144927,0.1791491911324146,0.1621943947525342,0.228486646884273,0,0.2727272727272727
Kendall Langford,0.5943509615384616,0.7141148325358851,0.8315665488810365,0.8238498789346247,0.788647342995169,0.7711204313960456,0.7513416815742398,0.8053412462908012,0.7677419354838709,1,
Johnathan Joseph,0.6065178032589016,0.813579511614056,0.900841346153846,0.9647129186602872,0.9528857479387516,0.9552058111380144,0.9269323671497584,0.926303175554224,0.958855098389982,0,0.9572700296735904
Michael Carter~,0.0637065637065637,0.2070240295748613,0.2628676470588235,0.3482142857142857,0.2792452830188679,0.2326454033771107,0.298311444652908,0.0469043151969981,0.0743494423791821,1,
Anthony Barr,0.8067978533094812,0.9311572700296736,0.9747800586510263,0.9351635514018692,0.8792899408284024,0.8872987477638641,0.8444055944055944,0.8895917193789534,0.8400954653937948,0,0.8442211055276382
Clark Harris,0.0873205741626794,0.2597173144876325,0.3819612590799031,0.4371980676328502,0.4331935290593169,0.332737030411449,0.3851632047477745,0.449266862170088,0.4760514018691589,0,0.4710059171597633
