Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Retire,NextPercentile
Phil Dawson,0.1025641025641025,0.3095238095238095,0.4634146341463415,0.6888888888888889,0.8333333333333334,0.8571428571428571,0.8222222222222222,0.8421052631578947,0.825,0.8048780487804879,0.8837209302325582,0.7727272727272727,0,0.6842105263157895
Matt Bahr,0.2162162162162162,0.3529411764705882,0.5757575757575758,0.5,0.5142857142857142,0.5428571428571428,0.717948717948718,0.6410256410256411,0.7,0.6410256410256411,0.5277777777777778,0.5625,0,0.5757575757575758
Jeff Wilkins,0.0833333333333333,0.2121212121212121,0.5428571428571428,0.6486486486486487,0.6153846153846154,0.6190476190476191,0.7560975609756098,0.7333333333333333,0.9523809523809524,0.8095238095238095,0.9555555555555556,0.8157894736842105,0,0.85
Todd Peterson,0.0303030303030303,0.1666666666666666,0.3333333333333333,0.8285714285714286,0.7837837837837838,0.6923076923076923,0.7619047619047619,0.8780487804878049,0.6444444444444445,0.5476190476190477,0.4047619047619047,0.6,1,
Adam Vinatieri,0.1212121212121212,0.2857142857142857,1.0,0.9487179487179488,0.6666666666666666,0.6097560975609756,0.8444444444444444,0.8095238095238095,0.7619047619047619,0.5555555555555556,0.4473684210526316,0.35,0,0.4146341463414634
Joe Nedney,0.0606060606060606,0.2,0.3783783783783784,0.3333333333333333,0.5714285714285714,0.6341463414634146,0.6666666666666666,0.4761904761904761,0.238095238095238,0.3555555555555555,0.3421052631578947,0.9,0,0.8780487804878049
Robbie Gould,0.2444444444444444,0.2631578947368421,0.5,0.6341463414634146,0.7209302325581395,0.7045454545454546,0.7894736842105263,0.6666666666666666,0.6571428571428571,0.4166666666666667,0.5897435897435898,0.25,0,0.7954545454545454
Norm Johnson,0.1842105263157894,0.4,0.7714285714285715,0.7948717948717948,0.717948717948718,0.7666666666666667,0.7948717948717948,0.5,0.59375,0.696969696969697,0.875,1.0,0,1.0
Pat Leahy,0.1666666666666666,0.4782608695652174,0.7037037037037037,0.7096774193548387,0.78125,0.7297297297297297,0.6470588235294118,0.5454545454545454,0.7105263157894737,0.6571428571428571,0.5142857142857142,0.6410256410256411,0,0.9743589743589745
Jay Feely,0.1951219512195122,0.4,0.8571428571428571,0.7380952380952381,0.9111111111111112,0.8947368421052632,0.975,0.8536585365853658,0.7441860465116279,0.7272727272727273,0.631578947368421,0.6111111111111112,0,0.6285714285714286
Shayne Graham,0.0975609756097561,0.2666666666666666,0.3333333333333333,0.5476190476190477,0.8888888888888888,0.7631578947368421,0.725,0.7073170731707317,0.7906976744186046,0.6363636363636364,0.3157894736842105,0.3611111111111111,0,0.2857142857142857
Al Del Greco,0.1428571428571428,0.4102564102564102,0.5897435897435898,0.6666666666666666,0.5128205128205128,0.4444444444444444,0.4375,0.6363636363636364,0.75,0.9,0.9090909090909092,0.9166666666666666,0,0.9090909090909092
Stephen Gostkowski,0.0789473684210526,0.3,0.7560975609756098,0.8372093023255814,0.5454545454545454,0.6052631578947368,0.5,0.9428571428571428,1.0,1.0,0.9722222222222222,0.9090909090909092,0,0.8333333333333334
Jeff Jaeger,0.3833333333333333,0.1794871794871795,0.3333333333333333,0.21875,0.9090909090909092,0.6875,0.7,0.7272727272727273,0.6111111111111112,0.5151515151515151,0.5142857142857142,0.6756756756756757,0,0.5641025641025641
Matt Stover,0.1515151515151515,0.25,0.5,0.5454545454545454,0.4444444444444444,0.7272727272727273,0.5714285714285714,0.4864864864864865,0.5384615384615384,0.6904761904761905,0.975609756097561,0.9777777777777776,0,0.9047619047619048
Toni Fritsch,0.4444444444444444,0.5,0.7272727272727273,0.5,0.4347826086956521,0.3703703703703703,0.6129032258064516,0.75,0.972972972972973,1.0,1.0,0.6842105263157895,1,
Sebastian Janikowski,0.0952380952380952,0.3414634146341463,0.5333333333333333,0.7142857142857143,0.6666666666666666,0.5777777777777777,0.5,0.65,0.926829268292683,0.9534883720930232,0.9318181818181818,0.8947368421052632,0,0.9722222222222222
Neil Rackers,0.0714285714285714,0.2682926829268293,0.4444444444444444,0.4285714285714285,0.4761904761904761,0.7111111111111111,0.9473684210526316,1.0,0.975609756097561,1.0,1.0,0.9473684210526316,1,
Nick Novak,0.1555555555555555,0.131578947368421,0.2,0.2195121951219512,0.0930232558139534,0.0909090909090909,0.131578947368421,0.25,0.8857142857142857,0.5555555555555556,0.6153846153846154,0.5,0,0.4772727272727273
Billy Cundiff,0.1555555555555555,0.2857142857142857,0.5714285714285714,0.4888888888888889,0.2105263157894736,0.1,0.024390243902439,0.1395348837209302,0.2727272727272727,0.6578947368421053,0.3055555555555556,0.3428571428571428,0,0.25
Stephen Hauschka,0.073170731707317,0.1860465116279069,0.2954545454545454,0.2368421052631578,0.4444444444444444,0.7142857142857143,0.9166666666666666,0.9487179487179488,1.0,0.9545454545454546,0.7619047619047619,0.6190476190476191,0,0.4081632653061224
Jan Stenerud,0.9230769230769232,0.9444444444444444,0.9444444444444444,0.9090909090909092,1.0,1.0,1.0,0.8709677419354839,0.6875,0.6216216216216216,0.5294117647058824,0.696969696969697,0,0.8421052631578947
Dean Biasucci,0.1142857142857142,0.1794871794871795,0.3076923076923077,0.5833333333333334,0.8461538461538461,0.9444444444444444,0.96875,0.6666666666666666,0.34375,0.3666666666666666,0.4545454545454545,0.5,1,
Jason Hanson,0.15625,0.2333333333333333,0.6060606060606061,0.7222222222222222,0.6060606060606061,0.8571428571428571,0.5945945945945946,0.8974358974358975,0.7857142857142857,0.7073170731707317,0.7555555555555555,0.7380952380952381,0,0.8333333333333334
Eddie Murray,0.1470588235294117,0.3333333333333333,0.9736842105263158,1.0,0.9142857142857144,0.9487179487179488,0.8717948717948718,0.9333333333333332,0.8717948717948718,0.9722222222222222,0.9375,0.7878787878787878,0,0.40625
Greg Davis,0.4,0.3333333333333333,0.6388888888888888,0.84375,0.9393939393939394,0.46875,0.4333333333333333,0.5151515151515151,0.75,0.3939393939393939,0.3714285714285714,0.3513513513513513,1,
Ryan Succop,0.1627906976744186,0.25,0.3947368421052631,0.3888888888888889,0.4,0.5833333333333334,0.4615384615384615,0.3888888888888889,0.5681818181818182,0.6666666666666666,0.3809523809523809,0.5102040816326531,0,0.54
Josh Brown,0.1666666666666666,0.2619047619047619,0.6444444444444445,0.631578947368421,0.7,0.6829268292682927,0.4651162790697674,0.5909090909090909,0.5,0.4722222222222222,0.3142857142857143,0.3333333333333333,0,0.7435897435897436
