Player,Year1,Year2,Year3,Retire,NextPercentile
Tim Seder,0.1666666666666666,0.2926829268292683,0.4222222222222222,1,
Travis Coons,0.2051282051282051,0.0277777777777777,0.2954545454545454,1,
Chris Bahr,0.1851851851851851,0.3548387096774194,0.9375,0,0.918918918918919
Randy Bullock,0.0571428571428571,0.2222222222222222,0.6666666666666666,0,0.3333333333333333
Jess Atkinson,0.0769230769230769,0.1794871794871795,0.6,1,
Rob Bironas,0.2,0.2368421052631578,0.425,0,0.4634146341463415
Lawrence Tynes,0.0952380952380952,0.3777777777777777,0.5789473684210527,0,0.8
Frank Corral,0.21875,0.4594594594594595,0.6764705882352942,0,0.4242424242424242
Joe Cooper,0.0857142857142857,0.1282051282051282,0.2307692307692307,1,
Nate Kaeding,0.0714285714285714,0.3333333333333333,0.7368421052631579,0,0.875
Martin Gramatica,0.1538461538461538,0.4285714285714285,0.926829268292683,0,0.9111111111111112
Neil Rackers,0.0714285714285714,0.2682926829268293,0.4444444444444444,0,0.4285714285714285
Scott Bentley,0.0285714285714285,0.1081081081081081,0.0512820512820512,0,0.0476190476190476
Russell Erxleben,0.2432432432432432,0.2647058823529412,0.2727272727272727,0,0.2368421052631578
Connor Barth,0.1219512195121951,0.2093023255813953,0.3409090909090909,0,0.5789473684210527
Lee Johnson,0.0769230769230769,0.0555555555555555,0.03125,0,0.0909090909090909
Jim Breech,0.1891891891891892,0.2941176470588235,0.6666666666666666,0,0.9210526315789472
Donald Igwebuike,0.2051282051282051,0.358974358974359,0.7333333333333333,0,0.7692307692307693
Rafael Septien,0.2903225806451613,0.34375,0.8108108108108109,0,0.7647058823529411
Justin Medlock,0.05,0.048780487804878,0.0465116279069767,0,0.0
David Trout,0.1212121212121212,0.1578947368421052,0.1428571428571428,0,0.0285714285714285
Mike Vanderjagt,0.1891891891891892,0.3076923076923077,0.9285714285714286,0,1.0
Steve Cox,0.0,0.0,0.2285714285714285,0,0.2571428571428571
Robbie Gould,0.2444444444444444,0.2631578947368421,0.5,0,0.6341463414634146
Jim Turner,0.5384615384615384,0.8333333333333334,0.8888888888888888,0,0.9545454545454546
Matt Stover,0.1515151515151515,0.25,0.5,0,0.5454545454545454
Billy Cundiff,0.1555555555555555,0.2857142857142857,0.5714285714285714,0,0.4888888888888889
Eddie Murray,0.1470588235294117,0.3333333333333333,0.9736842105263158,0,1.0
Scott Blanton,0.1515151515151515,0.2571428571428571,0.4054054054054054,1,
