Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Retire,NextPercentile
Art Monk,0.5595567867036011,0.8801089918256131,0.9169054441260746,0.940379403794038,0.9546599496221664,0.976,0.9826732673267328,0.9717138103161398,0.9653333333333334,0.966321243523316,0.954177897574124,0.9509043927648578,0,0.9276139410187668
Roy Green,0.1362397820163488,0.0914127423822714,0.6457765667574932,0.8424068767908309,0.964769647696477,0.9924433249370276,0.9786666666666668,0.9529702970297028,0.9284525790349416,0.952,0.9533678756476685,0.9407008086253368,0,0.8837209302325582
Cory Schlesinger,0.0242130750605326,0.0143540669856459,0.2068126520681265,0.3629807692307692,0.4851936218678815,0.397196261682243,0.5035128805620609,0.6423841059602649,0.731404958677686,0.7270875763747454,0.6380368098159509,0.4325481798715203,1,
Julian Edelman,0.3450413223140496,0.520746887966805,0.5813492063492064,0.5717017208413002,0.8280632411067194,0.9302788844621512,0.9529411764705882,0.9464627151051626,0.8194174757281554,0.8595505617977528,0.8360957642725598,0.9135135135135136,1,
Wesley Walker,0.6352201257861635,0.9228486646884272,0.983651226158038,0.9335180055401662,0.9182561307901907,0.9627507163323782,0.986449864498645,0.9798488664987406,0.9573333333333334,0.943069306930693,0.9384359400998336,0.8906666666666667,0,0.7901554404145078
James Brooks,0.3705722070844686,0.4527220630372492,0.5121951219512195,0.4584382871536523,0.664,0.844059405940594,0.9168053244592346,0.8773333333333333,0.8031088082901554,0.7547169811320755,0.7364341085271318,0.5093833780160858,1,
Jerome Barkum,0.411214953271028,0.8340425531914893,0.9588014981273408,0.9615384615384616,0.875,0.8584905660377359,0.8041543026706232,0.8610354223433242,0.778393351800554,0.8201634877384196,0.7851002865329513,0.7452574525745257,1,
Ozzie Newsome,0.486646884272997,0.8310626702997275,0.9196675900277008,0.9673024523160764,0.9799426934097422,0.989159891598916,0.9874055415617128,0.9653333333333334,0.938118811881188,0.9051580698835274,0.824,0.7797927461139896,0,0.7358490566037735
John Stallworth,0.4157303370786517,0.7097902097902098,0.803125,0.9088050314465408,0.9376854599406528,0.997275204359673,0.9529085872576176,0.9073569482288828,0.8853868194842407,0.8888888888888888,0.9571788413098236,0.9546666666666668,0,0.9702970297029704
Webster Slaughter,0.4207920792079208,0.870216306156406,0.8986666666666666,0.9507772020725388,0.9245283018867924,0.9715762273901808,0.9195710455764076,0.862533692722372,0.8125,0.864406779661017,0.8827751196172249,0.7347931873479319,0,0.6177884615384616
Emery Moorehead,0.270440251572327,0.3827893175074184,0.4577656675749318,0.2576177285318559,0.0463215258855585,0.6017191977077364,0.8265582655826558,0.929471032745592,0.872,0.849009900990099,0.8569051580698835,0.688,1,
Rob Gronkowski,0.4211618257261411,0.8869047619047619,0.9751434034416826,0.974308300395257,0.9641434262948207,0.992156862745098,0.9866156787762906,0.9805825242718448,0.9438202247191012,0.861878453038674,0.7441441441441441,0.8165467625899281,1,
Anthony Becht,0.25,0.6768149882903981,0.8101545253863135,0.8471074380165289,0.7413441955193483,0.6625766871165644,0.45610278372591,0.4190871369294606,0.3731958762886598,0.3698347107438016,0.2323651452282157,0.3134920634920635,1,
