Player,Year1,Year2,Year3,Year4,Year5,Year6,Retire,NextPercentile
Marion Butts,0.0362694300518134,0.1482479784366576,0.3953488372093023,0.4718498659517426,0.4663072776280323,0.3958333333333333,0,0.3171912832929782
Anthony Sherman,0.1666666666666666,0.3326959847036329,0.4960474308300395,0.4780876494023904,0.4784313725490196,0.3862332695984704,0,0.3475728155339805
Chris Ivory,0.2614107883817427,0.2718253968253968,0.4282982791586998,0.2628458498023715,0.446215139442231,0.4941176470588235,0,0.6233269598470363
Deshaun Foster,0.1880165289256198,0.405295315682281,0.6666666666666666,0.6316916488222698,0.5643153526970954,0.4639175257731959,1,
Ron Egloff,0.1415094339622641,0.2462908011869436,0.3869209809264305,0.3822714681440443,0.4604904632152589,0.4899713467048711,0,0.5962059620596206
Greg Baty,0.3415841584158416,0.7004991680532446,0.5253333333333333,0.2642487046632124,0.0107816711590296,0.2790697674418604,0,0.4182305630026809
Ernie Jones,0.4106666666666667,0.7331606217616581,0.8867924528301887,0.9121447028423773,0.9302949061662198,0.894878706199461,1,
Pat Curran,0.1375,0.1684210526315789,0.1775700934579439,0.2595744680851063,0.1835205992509363,0.6468531468531469,0,0.765625
Tony Carter 2,0.3385416666666667,0.5786924939467313,0.6650717703349283,0.5912408759124088,0.5625,0.5603644646924829,0,0.5537383177570093
Randy Mcmichael,0.4547461368653421,0.768595041322314,0.8839103869653768,0.8957055214723927,0.8865096359743041,0.8817427385892116,0,0.822680412371134
Shawn Bryson,0.1542056074766355,0.3629976580796253,0.5386313465783664,0.6446280991735537,0.7006109979633401,0.7464212678936605,0,0.708779443254818
Steve Raible,0.4125,0.5062893081761006,0.7062314540059347,0.6920980926430518,0.7202216066481995,0.6430517711171662,1,
Robert Brooks,0.163538873994638,0.4123989218328841,0.7473958333333334,0.953995157384988,0.9545454545454546,0.978102189781022,0,0.9014423076923076
Lamar Smith,0.2227602905569007,0.2535885167464115,0.4549878345498783,0.4471153846153846,0.6173120728929385,0.6285046728971962,0,0.5878220140515222
Greg Olsen,0.3485477178423236,0.6783505154639176,0.8739669421487604,0.8402489626556017,0.8333333333333334,0.869980879541109,0,0.924901185770751
Emmanuel Sanders,0.3402489626556016,0.6190476190476191,0.7915869980879541,0.8517786561264822,0.9362549800796812,0.9803921568627452,0,0.9847036328871892
Clarence Verdin,0.4309484193011647,0.6453333333333333,0.8497409326424871,0.8490566037735849,0.7751937984496124,0.6193029490616622,0,0.5983827493261455
Chase Coffman,0.1535269709543568,0.1706349206349206,0.4359464627151052,0.2272727272727272,0.4262948207171315,0.3784313725490196,1,
Raymont Harris,0.2447916666666666,0.2663438256658595,0.5478468899521531,0.3917274939172749,0.5144230769230769,0.2027334851936218,0,0.1985981308411215
Fred Beasley,0.1778846153846154,0.4874715261958998,0.6915887850467289,0.6229508196721312,0.5894039735099338,0.5681818181818182,0,0.5519348268839104
Bryan Walters,0.1765873015873016,0.1739961759082218,0.150197628458498,0.1414342629482071,0.4862745098039215,0.7036328871892925,1,
Jamal Lewis,0.1004672897196261,0.1077283372365339,0.5540838852097131,0.6487603305785123,0.7433808553971487,0.7034764826175869,0,0.6402569593147751
Sammy Watkins,0.5776892430278885,0.884313725490196,0.9502868068833652,0.9495145631067962,0.9119850187265918,0.9116022099447514,0,0.8612612612612612
Napoleon Kaufman,0.1186440677966101,0.3229665071770335,0.5815085158150851,0.5985576923076923,0.6400911161731208,0.6004672897196262,1,
Lionel Manuel,0.4508816120906801,0.816,0.9034653465346536,0.9334442595673876,0.9093333333333332,0.932642487046632,0,0.894878706199461
Larry Schreiber,0.3894736842105263,0.6214953271028038,0.6851063829787234,0.7415730337078652,0.7167832167832168,0.6875,1,
Preston Dennard,0.0682492581602373,0.6457765667574932,0.8393351800554016,0.9400544959128064,0.9255014326647564,0.929539295392954,0,0.9017632241813602
Tom Waddle,0.0492227979274611,0.1105121293800539,0.4599483204134367,0.7882037533512064,0.8787061994609164,0.8932291666666666,1,
Ron Middleton,0.0717821782178217,0.1630615640599001,0.0613333333333333,0.1761658031088082,0.1994609164420485,0.3720930232558139,0,0.2520107238605898
James Mcknight,0.3489583333333333,0.5617433414043583,0.8373205741626795,0.8710462287104623,0.8846153846153846,0.7630979498861048,0,0.75
Ricky Watters,0.3914209115281501,0.6415094339622641,0.8463541666666666,0.7893462469733656,0.80622009569378,0.7177615571776156,0,0.7860576923076923
Robert Wilson 2,0.0852713178294573,0.0616621983914209,0.0754716981132075,0.0104166666666666,0.0338983050847457,0.0813397129186602,1,
Ottis Anderson,0.3678474114441417,0.5872576177285319,0.6948228882833788,0.5931232091690545,0.6693766937669376,0.7481108312342569,0,0.7706666666666667
Deion Branch,0.5298013245033113,0.8347107438016529,0.9144602851323828,0.9386503067484664,0.9207708779443254,0.950207468879668,0,0.9154639175257732
Justin Griffith,0.2582644628099173,0.5254582484725051,0.6482617586912065,0.6445396145610278,0.6120331950207469,0.6288659793814433,0,0.5475206611570248
Cameron Brate,0.249003984063745,0.5568627450980392,0.8298279158699808,0.8737864077669902,0.8670411985018727,0.85451197053407,0,0.7801801801801802
Daryl Johnston,0.194300518134715,0.431266846361186,0.6718346253229974,0.6675603217158177,0.7223719676549866,0.6953125,0,0.6924939467312349
Benny Malone,0.1048689138576779,0.3986013986013986,0.546875,0.5345911949685535,0.4451038575667655,0.5040871934604905,1,
Pierre Garcon,0.1319587628865979,0.640495867768595,0.8692946058091287,0.9464285714285714,0.9388145315487572,0.950592885375494,0,0.9581673306772908
Jordan Reed,0.4328063241106719,0.6772908366533864,0.8607843137254902,0.887189292543021,0.8271844660194175,0.799625468164794,0,0.5414364640883977
Alvis Whitted,0.25,0.3006833712984054,0.4929906542056075,0.351288056206089,0.2737306843267108,0.371900826446281,0,0.5478615071283096
Paul Smith 2,0.2943925233644859,0.2833723653395784,0.401766004415011,0.3698347107438016,0.3258655804480652,0.2883435582822086,0,0.1049250535331905
Curtis Martin,0.2832929782082324,0.5119617224880383,0.6715328467153284,0.7379807692307693,0.6788154897494305,0.7266355140186916,0,0.7142857142857143
Robert Turbin,0.2619502868068833,0.3774703557312253,0.6155378486055777,0.492156862745098,0.5812619502868069,0.4932038834951456,0,0.4400749063670412
Brandon Gibson,0.2004132231404958,0.6161825726141079,0.7996031746031746,0.9024856596558316,0.8774703557312253,0.8107569721115537,1,
Fred Davis,0.1010309278350515,0.5702479338842975,0.7780082987551867,0.8829365079365079,0.8623326959847036,0.8102766798418972,1,
Luke Stocker,0.1865079365079365,0.4455066921606118,0.4407114624505929,0.3625498007968127,0.2803921568627451,0.4034416826003824,0,0.4077669902912621
