Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Retire,NextPercentile
Dave Moore,0.1662198391420911,0.4150943396226415,0.59375,0.5907990314769975,0.631578947368421,0.6885644768856448,0.7524038461538461,0.7517084282460137,0.7453271028037384,0,0.7845433255269321
Matt Spaeth,0.2406639004149377,0.4164948453608247,0.4628099173553719,0.3983402489626556,0.4087301587301587,0.4990439770554493,0.5434782608695652,0.5418326693227091,0.5392156862745098,1,
Fred Taylor,0.3942307692307692,0.5808656036446469,0.647196261682243,0.4496487119437939,0.5849889624724062,0.7252066115702479,0.8044806517311609,0.7525562372188139,0.6873661670235546,0,0.553941908713693
Steve Largent,0.640625,0.89937106918239,0.9970326409495548,1.0,0.997229916897507,1.0,0.98567335243553,0.981029810298103,0.9748110831234256,0,0.992
Mack Strong,0.0026041666666666,0.0920096852300242,0.2631578947368421,0.4939172749391727,0.3822115384615384,0.296127562642369,0.2733644859813084,0.4402810304449648,0.5518763796909493,0,0.6239669421487604
Cory Schlesinger,0.0242130750605326,0.0143540669856459,0.2068126520681265,0.3629807692307692,0.4851936218678815,0.397196261682243,0.5035128805620609,0.6423841059602649,0.731404958677686,0,0.7270875763747454
Benjamin Watson,0.1242362525458248,0.4907975460122699,0.7259100642398287,0.7966804979253111,0.7298969072164948,0.7789256198347108,0.8360995850622407,0.871031746031746,0.8738049713193117,0,0.8003952569169961
Dennis Gentry,0.0458452722063037,0.040650406504065,0.0957178841309823,0.2533333333333333,0.5767326732673267,0.7903494176372712,0.7573333333333333,0.7746113989637305,0.7789757412398922,0,0.7312661498708011
Ozzie Newsome,0.486646884272997,0.8310626702997275,0.9196675900277008,0.9673024523160764,0.9799426934097422,0.989159891598916,0.9874055415617128,0.9653333333333334,0.938118811881188,0,0.9051580698835274
Bruce Hardy,0.1097922848664688,0.4741144414168937,0.6177285318559557,0.670299727520436,0.5530085959885387,0.5609756097560976,0.6322418136020151,0.7093333333333334,0.75,0,0.8402662229617305
Rick Kane,0.2830188679245283,0.4362017804154303,0.5967302452316077,0.4182825484764543,0.5231607629427792,0.4813753581661891,0.4905149051490515,0.3173803526448362,0.32,1,
Brandon Marshall,0.3019271948608137,0.7800829875518672,0.9278350515463918,0.981404958677686,0.9813278008298756,0.984126984126984,0.982791586998088,0.9881422924901184,0.9820717131474104,0,0.9901960784313726
Mike Wilson,0.2588555858310626,0.4727793696275071,0.6775067750677507,0.7304785894206549,0.784,0.7747524752475248,0.8885191347753744,0.864,0.8005181347150259,0,0.5417789757412399
