Player,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10,Year11,Year12,Retire,NextPercentile
Zack Crockett,0.0588235294117647,0.2323943661971831,0.4133333333333333,0.3815789473684211,0.4658385093167702,0.5161290322580645,0.678082191780822,0.6357615894039735,0.7025316455696202,0.7664670658682635,0.7402597402597403,0.6078431372549019,0,0.3245033112582781
Ronnie Harmon,0.2865497076023391,0.7672727272727272,0.8311688311688312,0.9090909090909092,0.9078947368421052,0.952054794520548,0.9705882352941176,0.9626865671641792,0.9285714285714286,0.9607843137254902,0.9366197183098592,0.8866666666666667,1,
Brian Hoyer,0.0828025477707006,0.0714285714285714,0.0816326530612244,0.2830188679245283,0.3928571428571428,0.3450292397660818,0.217877094972067,0.0268817204301075,0.0218579234972677,0.0053191489361702,0.0103092783505154,0.2883720930232558,0,0.2752293577981651
Jerome Bettis,0.5298507462686567,0.8071428571428572,0.9019607843137256,0.7816901408450704,0.8533333333333334,0.9078947368421052,0.906832298136646,0.8774193548387097,0.9041095890410958,0.8940397350993378,0.8164556962025317,0.7784431137724551,0,0.7597402597402597
Freeman Mcneil,0.216867469879518,0.8,0.8417721518987342,0.9629629629629628,0.9290322580645162,0.9473684210526316,0.9454545454545454,0.8701298701298701,0.8506493506493507,0.8355263157894737,0.821917808219178,0.7205882352941176,1,
Cullen Bryant,0.0503597122302158,0.45,0.5294117647058824,0.6369426751592356,0.6158536585365854,0.6976744186046512,0.8837209302325582,0.891566265060241,0.6727272727272727,0.3734177215189873,0.2654320987654321,0.2129032258064516,0,0.1345029239766081
Brian Mitchell 2,0.131578947368421,0.3219178082191781,0.6323529411764706,0.7014925373134329,0.8928571428571429,0.8888888888888888,0.8873239436619719,0.8466666666666667,0.8157894736842105,0.8385093167701864,0.864516129032258,0.8082191780821918,0,0.5562913907284768
Keith Byars,0.2163742690058479,0.68,0.8181818181818182,0.9025974025974026,0.9473684210526316,0.9315068493150684,0.9044117647058824,0.9552238805970148,0.9357142857142856,0.9411764705882352,0.7394366197183099,0.6466666666666666,0,0.8026315789473685
James Brooks,0.3313253012048193,0.793939393939394,0.8354430379746836,0.8271604938271605,0.8838709677419355,0.9766081871345028,0.9963636363636365,0.987012987012987,0.9675324675324676,1.0,0.9726027397260274,0.8088235294117647,1,
Walter Payton,0.4428571428571428,0.8300653594771242,0.9808917197452228,1.0,1.0,1.0,0.993975903614458,0.9454545454545454,0.9493670886075948,0.9938271604938272,1.0,1.0,0,0.9709090909090908
Thurman Thomas,0.1688311688311688,0.6493506493506493,0.9802631578947368,1.0,1.0,0.9850746268656716,0.9857142857142858,0.9477124183006536,0.9577464788732394,0.8933333333333333,0.8618421052631579,0.7639751552795031,0,0.7741935483870968
Tony Dorsett,0.554140127388535,0.9085365853658536,0.994186046511628,0.9825581395348836,0.9879518072289156,0.9636363636363636,0.9873417721518988,0.9382716049382716,0.9612903225806452,0.8947368421052632,0.9345454545454546,0.6623376623376623,1,
Fred Mcafee,0.2260273972602739,0.4044117647058823,0.4925373134328358,0.4428571428571428,0.4705882352941176,0.3873239436619718,0.38,0.4144736842105263,0.3726708074534161,0.6838709677419355,0.4931506849315068,0.7880794701986755,0,0.7848101265822784
Mosi Tatupu,0.0182926829268292,0.1104651162790697,0.2151162790697674,0.5783132530120482,0.7393939393939394,0.810126582278481,0.7222222222222222,0.6967741935483871,0.6374269005847953,0.7527272727272727,0.551948051948052,0.487012987012987,0,0.4078947368421052
Emmitt Smith,0.4013157894736842,0.9178082191780822,0.9852941176470588,1.0,1.0,0.9934640522875816,0.9929577464788732,0.9933333333333332,0.9671052631578948,0.968944099378882,0.9548387096774194,0.9246575342465754,0,0.8543046357615894
Larry Centers,0.0821917808219178,0.4338235294117647,0.8507462686567164,0.9142857142857144,0.954248366013072,0.943661971830986,0.9133333333333332,0.9276315789473684,0.8881987577639752,0.8903225806451613,0.910958904109589,0.9072847682119204,0,0.8354430379746836
Darren Sproles,0.1883116883116883,0.130718954248366,0.3377483443708609,0.567741935483871,0.8407643312101911,0.922077922077922,0.9523809523809524,0.9748427672955976,0.9821428571428572,0.953216374269006,0.8435754189944135,0.8924731182795699,0,0.819672131147541
Ahman Green,0.1907894736842105,0.4347826086956521,0.8516129032258064,0.958904109589041,0.9867549668874172,0.9746835443037974,0.9700598802395208,0.9155844155844156,0.8366013071895425,0.7947019867549668,0.7935483870967742,0.5859872611464968,1,
