Player,Year1,Year2,Year3,Retire,NextPercentile
Kyle Eckel,0.0728476821192053,0.1806451612903225,0.3949044585987261,1,
Travis Jervey,0.0,0.0,0.1644736842105263,0,0.4596273291925465
Michael Robinson,0.1045751633986928,0.304635761589404,0.432258064516129,0,0.4267515923566879
Jamaal Charles,0.2451612903225806,0.7452229299363057,0.987012987012987,0,0.9387755102040816
Blaine Gabbert,0.0,0.0,0.0059523809523809,0,0.2456140350877192
Rob Kelley,0.4086021505376344,0.5737704918032787,0.6595744680851063,1,
Darren Sproles,0.1883116883116883,0.130718954248366,0.3377483443708609,0,0.567741935483871
Curtis Adams,0.1161290322580645,0.3567251461988304,0.7090909090909091,0,0.461038961038961
Curtis Dickey,0.4069767441860465,0.8493975903614458,0.9090909090909092,0,0.8987341772151899
Andrew Beck,0.3505154639175257,0.3209302325581395,0.3302752293577982,0,0.0539215686274509
Cedric Benson,0.1038961038961039,0.457516339869281,0.6357615894039735,0,0.7741935483870968
Steve Slaton,0.6709677419354839,0.7834394904458599,0.8961038961038961,0,0.4761904761904761
Darrel Williams,0.1436170212765957,0.4278350515463917,0.6325581395348837,0,0.8073394495412844
Trung Canidate,0.0258064516129032,0.4452054794520548,0.543046357615894,0,0.7278481012658228
John Avery,0.0986842105263157,0.3602484472049689,0.3677419354838709,0,0.1643835616438356
Mosi Tatupu,0.0182926829268292,0.1104651162790697,0.2151162790697674,0,0.5783132530120482
Wendell Smallwood,0.1881720430107527,0.3989071038251366,0.601063829787234,0,0.6391752577319587
Jerry Eckwood,0.3662790697674418,0.6627906976744186,0.9036144578313252,1,
Christian Okoye,0.5745454545454546,0.5324675324675324,0.8246753246753247,0,0.7894736842105263
Tyson Thompson,0.1363636363636363,0.1633986928104575,0.3311258278145695,1,
Ray Wallace,0.3508771929824561,0.6727272727272727,0.3896103896103896,0,0.2597402597402597
Willie Rodgers,0.2129629629629629,0.2479338842975206,0.5539568345323741,0,0.4214285714285714
Jacob Hester,0.1225806451612903,0.286624203821656,0.4675324675324675,0,0.4897959183673469
Curtis Enis,0.1381578947368421,0.5093167701863354,0.6580645161290323,1,
Charley Young,0.2733812949640288,0.5714285714285714,0.7058823529411765,1,
Reno Mahe,0.2035928143712574,0.3506493506493506,0.4967320261437908,1,
Lonnie Perrin,0.1176470588235294,0.5159235668789809,0.6890243902439024,0,0.6744186046511628
Harold Green,0.1381578947368421,0.5342465753424658,0.9264705882352942,0,0.9029850746268656
Jim Otis,0.5121951219512195,0.5730337078651685,0.6018518518518519,0,0.5950413223140496
Darrell Thompson,0.0,0.2945205479452055,0.5073529411764706,0,0.7089552238805971
Chris Howard,0.0197368421052631,0.2298136645962732,0.3161290322580645,1,
John Tarver,0.2407407407407407,0.4710743801652892,0.5899280575539568,0,0.4714285714285714
Dalton Hilliard,0.2807017543859649,0.7418181818181818,0.8246753246753247,0,0.9545454545454546
Leroy Harris 2,0.3121019108280254,0.5365853658536586,0.7383720930232558,0,0.7790697674418605
Garry James,0.4269005847953216,0.7345454545454545,0.7987012987012987,1,
Isaiah Pead,0.1446540880503144,0.3273809523809524,0.3333333333333333,0,0.1396648044692737
Harold Hart,0.2086330935251798,0.3857142857142857,0.3398692810457516,0,0.1528662420382165
Sammy Johnson,0.3237410071942446,0.5357142857142857,0.6078431372549019,0,0.5859872611464968
Rich Erenberg,0.2777777777777778,0.5225806451612903,0.7719298245614035,1,
Daimon Shelton,0.0066666666666666,0.125,0.2670807453416149,0,0.3935483870967742
Troymaine Pope,0.1774193548387097,0.1366120218579235,0.1170212765957446,0,0.0670103092783505
Anthony Mcdowell,0.2573529411764705,0.373134328358209,0.55,1,
Robert Drummond,0.2142857142857142,0.2697368421052631,0.3698630136986301,1,
Mark Higgs,0.0389610389610389,0.2631578947368421,0.6301369863013698,0,0.7058823529411765
Devonta Freeman,0.2339181286549707,0.7486033519553073,0.9623655913978496,0,0.994535519125683
T J Duckett,0.2582781456953642,0.6075949367088608,0.7904191616766467,0,0.7532467532467533
Isaiah Crowell,0.2163742690058479,0.6871508379888268,0.9247311827956988,0,0.9617486338797814
Art Whittington,0.2682926829268293,0.5,0.7558139534883721,0,0.6626506024096386
Charlie Davis,0.3525179856115107,0.2642857142857143,0.4248366013071895,1,
Charles Sims,0.0701754385964912,0.5418994413407822,0.7043010752688172,0,0.7868852459016393
Lawrence Phillips,0.204225352112676,0.4266666666666667,0.4407894736842105,0,0.577639751552795
Billy Taylor,0.1219512195121951,0.5581395348837209,0.8255813953488372,0,0.7590361445783133
Carl Monroe,0.1139240506329113,0.4753086419753086,0.4645161290322581,0,0.3859649122807017
Robert Chancey,0.1973684210526315,0.3664596273291925,0.5483870967741935,1,
Jim Hooks,0.1983471074380165,0.381294964028777,0.2928571428571428,1,
Barty Smith,0.0071942446043165,0.3142857142857143,0.5490196078431373,0,0.7707006369426752
Willis Mcgahee,0.4311377245508982,0.7792207792207793,0.9019607843137256,0,0.8940397350993378
Zach Zenner,0.0893854748603352,0.3548387096774194,0.4207650273224044,0,0.5638297872340425
Jim Bertelsen,0.4907407407407407,0.7520661157024794,0.8848920863309353,0,0.8571428571428571
Chad Morton,0.1935483870967742,0.1917808219178082,0.2649006622516556,0,0.3417721518987341
Keith Byars,0.2163742690058479,0.68,0.8181818181818182,0,0.9025974025974026
Tony Benjamin,0.1019108280254777,0.274390243902439,0.3837209302325581,1,
Lamont Jordan,0.3082191780821918,0.5298013245033113,0.740506329113924,0,0.718562874251497
Robert Green,0.1985294117647058,0.3432835820895522,0.5642857142857143,0,0.6470588235294118
Woody Thompson,0.1642857142857142,0.3464052287581699,0.5668789808917197,1,
Tevin Coleman,0.1508379888268156,0.5913978494623656,0.8797814207650273,0,0.973404255319149
Joe Orduna,0.1481481481481481,0.3801652892561983,0.4532374100719424,1,
Ed Williams 3,0.3093525179856115,0.5142857142857142,0.6470588235294118,0,0.6050955414012739
Bernard Scott,0.2420382165605095,0.435064935064935,0.6258503401360545,0,0.6037735849056604
Tony Nathan,0.2790697674418604,0.6802325581395349,0.933734939759036,0,0.9030303030303032
Amos Zereoue,0.1118012422360248,0.2064516129032258,0.4794520547945205,0,0.6821192052980133
Rodney Thomas,0.3660130718954248,0.5774647887323944,0.8,0,0.6842105263157895
Patrick Dimarco,0.0614525139664804,0.1129032258064516,0.0765027322404371,0,0.4680851063829787
Jack Holmes,0.0121951219512195,0.1511627906976744,0.3255813953488372,0,0.5662650602409639
Reuben Droughns,0.0821917808219178,0.3112582781456953,0.5,0,0.7544910179640718
Nick Giaquinto,0.1046511627906976,0.3795180722891566,0.6,0,0.6962025316455697
Wayne Wilson,0.0813953488372093,0.2848837209302325,0.6144578313253012,0,0.8606060606060606
Larry Kinnebrew,0.050632911392405,0.4135802469135802,0.6580645161290323,0,0.8187134502923976
Brad Muster,0.2012987012987013,0.5,0.8157894736842105,0,0.9041095890410958
Tony Dorsett,0.554140127388535,0.9085365853658536,0.994186046511628,0,0.9825581395348836
Chris Brown,0.120253164556962,0.4011976047904191,0.7272727272727273,0,0.7450980392156863
Don Testerman,0.2679738562091503,0.6560509554140127,0.774390243902439,0,0.5058139534883721
C J Spiller,0.1168831168831168,0.5102040816326531,0.9245283018867924,0,0.9702380952380952
Rod Bernstine,0.6290909090909091,0.6038961038961039,0.8571428571428571,0,0.8486842105263158
Labrandon Toefield,0.2468354430379747,0.437125748502994,0.5974025974025974,0,0.4640522875816993
Robert Holmes,0.6585365853658537,0.6741573033707865,0.7037037037037037,0,0.7024793388429752
Bryce Brown,0.2767295597484276,0.6071428571428571,0.7076023391812866,0,0.5642458100558659
Tim Hightower,0.2193548387096774,0.4968152866242038,0.6688311688311688,0,0.7210884353741497
Willie Parker,0.2574850299401197,0.6558441558441559,0.9477124183006536,0,0.9536423841059604
Bob Thomas 2,0.3703703703703703,0.4876033057851239,0.5755395683453237,1,
Vai Sikahema,0.1929824561403508,0.4254545454545455,0.1038961038961039,0,0.2207792207792207
William Henderson,0.1372549019607843,0.380281690140845,0.6533333333333333,0,0.7894736842105263
George Layne,0.3509933774834437,0.7468354430379747,0.9041916167664672,1,
Frank Gore,0.3311688311688311,0.8823529411764706,0.9735099337748344,0,0.9612903225806452
Louie Giammona,0.196078431372549,0.2484076433121019,0.2256097560975609,0,0.0581395348837209
Sylvester Stamps,0.0987654320987654,0.0838709677419354,0.52046783625731,0,0.6909090909090909
Lars Tate,0.2662337662337662,0.6883116883116883,0.7631578947368421,1,
Derrick Harmon,0.1543209876543209,0.3161290322580645,0.4970760233918128,1,
Tony Carter 2,0.196078431372549,0.4577464788732394,0.6866666666666666,0,0.6447368421052632
Derrick Blaylock,0.1125827814569536,0.5063291139240507,0.8083832335329342,0,0.7857142857142857
Troy Davis 2,0.1066666666666666,0.2828947368421052,0.3850931677018633,1,
Phillip Walker,0.013953488372093,0.0045871559633027,0.0441176470588235,0,0.1412429378531073
William Andrews,0.4186046511627907,0.8488372093023255,0.9759036144578314,0,0.987878787878788
Dexter Bussey,0.0575539568345323,0.5428571428571428,0.7973856209150327,0,0.9044585987261148
Eric Lynch,0.1567164179104477,0.1714285714285714,0.1895424836601307,0,0.0070422535211267
Terrance West,0.3099415204678362,0.3798882681564245,0.6881720430107527,0,0.5409836065573771
Mike Garrett 2,0.6219512195121951,0.8314606741573034,0.9074074074074074,0,0.9173553719008264
Terrelle Smith,0.0838709677419354,0.1986301369863013,0.3311258278145695,0,0.189873417721519
Heath Evans,0.1506849315068493,0.2847682119205298,0.4746835443037974,0,0.4131736526946107
Kelvin Bryant,0.3684210526315789,0.8109090909090909,0.9285714285714286,0,0.8051948051948052
Darrel Young,0.1103896103896103,0.5374149659863946,0.8113207547169812,0,0.8690476190476191
Tony Galbreath,0.4836601307189542,0.732484076433121,0.9390243902439024,0,0.9534883720930232
Dexter Carter,0.2368421052631578,0.5958904109589042,0.7426470588235294,0,0.7313432835820896
Jim Strong,0.073170731707317,0.4044943820224719,0.5277777777777778,1,
Jeff Kinney,0.1944444444444444,0.4132231404958678,0.5827338129496403,0,0.6357142857142857
Kenyon Rasheed,0.1492537313432835,0.2642857142857143,0.3529411764705882,1,
Dennis Bligen,0.1354838709677419,0.2690058479532163,0.6363636363636364,1,
